date,source,metric,value
2026-09-01,github,asset:v0.1.0/UnofficialAppleMusicMCP-0.1.0-macos-arm64.zip,0
2026-09-01,github,asset:v0.1.0/UnofficialAppleMusicMCP-macos-arm64.zip,1
2026-09-01,github,asset:v0.1.1/UnofficialAppleMusicMCP-0.1.1-macos-arm64.zip,0
2026-09-01,github,asset:v0.1.1/UnofficialAppleMusicMCP-macos-arm64.zip,5
2026-09-01,github,asset:v0.2.0/UnofficialAppleMusicMCP-0.2.0-macos-arm64.zip,0
2026-09-01,github,asset:v0.2.0/UnofficialAppleMusicMCP-macos-arm64.zip,0
2026-09-01,github,asset:v0.2.1/UnofficialAppleMusicMCP-0.2.1-macos-arm64.zip,0
2026-09-01,github,asset:v0.2.1/UnofficialAppleMusicMCP-macos-arm64.zip,1
2026-09-01,github,asset:v0.2.2/UnofficialAppleMusicMCP-0.2.2-macos-arm64.zip,0
2026-09-01,github,asset:v0.2.2/UnofficialAppleMusicMCP-macos-arm64.zip,6
2026-09-01,github,asset:v0.3.0/UnofficialAppleMusicMCP-0.3.0-macos-arm64.zip,0
2026-09-01,github,asset:v0.3.0/UnofficialAppleMusicMCP-0.3.0-macos-x86_64.zip,0
2026-09-01,github,asset:v0.3.0/UnofficialAppleMusicMCP-macos-arm64.zip,1
2026-09-01,github,asset:v0.3.0/UnofficialAppleMusicMCP-macos-x86_64.zip,1
2026-09-01,github,asset:v0.3.0/secure_applemusic_mcp_for_osx-0.3.0-py3-none-macosx_14_0_universal2.whl,1
2026-09-01,github,asset:v0.3.1/UnofficialAppleMusicMCP-0.3.1-macos-arm64.zip,0
2026-09-01,github,asset:v0.3.1/UnofficialAppleMusicMCP-0.3.1-macos-x86_64.zip,0
2026-09-01,github,asset:v0.3.1/UnofficialAppleMusicMCP-macos-arm64.zip,2
2026-09-01,github,asset:v0.3.1/UnofficialAppleMusicMCP-macos-x86_64.zip,3
2026-09-01,github,asset:v0.3.1/secure_applemusic_mcp_for_osx-0.3.1-py3-none-macosx_14_0_universal2.whl,3
2026-09-01,github,clones_14d,966
2026-09-01,github,clones_uniq_14d,100
2026-09-01,github,forks,0
2026-09-01,github,stars,0
2026-09-01,github,views_14d,60
2026-09-01,github,views_uniq_14d,12
2026-09-01,github,watchers,0
2026-09-01,github,wheels_total,4
2026-09-01,github,zips_total,20
2026-09-01,pypi,latest_version,0.3.1
